Timestamp,What is your first name?,What is your last name?,With which gender do you identify?,Which project would you most like to work on? [Top choice],Which project would you most like to work on? [Choice 2],Which project would you most like to work on? [Choice 3],Which role do you MOST want to take on in the project?,What is your SECOND CHOICE role?,"For which of the following roles have you had some experience? (You don't have to be an expert, but you could hit the ground running.)",What grade did you receive on the cinematography quiz?,In which section are you enrolled?
2021/09/10 11:15:00AM EST,Donna,Martin,he - him,Midnight in Ohio,Anastasia,,Editor,Director,Editor,61.1,Section 2
2021/09/10 11:15:00AM EST,Jesse,Jimenez,they - them,Midnight in Ohio,Five Under Seven,,Producer,Sound Designer,Producer,51.4,Section 2
2021/09/10 11:15:00AM EST,Theresa,Johnson,he - him,Anastasia,The Last Umbrella,,Actor,Editor,Editor,58.7,Section 3
2021/09/10 11:15:00AM EST,Diane,Mendoza,he - him,Calculating Home,,,Editor,Cinematographer,Editor,72.3,Section 4
2021/09/10 11:15:00AM EST,Harold,Long,he - him,The Quiet Applause,Two Left Shoes,,Producer,Editor,Sound Designer,41.3,Section 1
2021/09/10 11:15:00AM EST,Juan,Cruz,he - him,Two Left Shoes,Calculating Home,,Sound Designer,Editor,Editor,65.5,Section 4
2021/09/10 11:15:00AM EST,Jack,Lewis,he - him,Midnight in Ohio,,,Producer,Actor,Actor,95.7,Section 2
2021/09/10 11:15:00AM EST,Wayne,Chen,he - him,Anastasia,Midnight in Ohio,,Actor,Sound Designer,Producer,87.2,Section 2
2021/09/10 11:15:00AM EST,Benjamin,Brooks,he - him,Calculating Home,Two Left Shoes,Midnight in Ohio,Producer,Sound Designer,Editor,51.4,Section 1
2021/09/10 11:15:00AM EST,Catherine,Robinson,he - him,Where's Henry?,Anastasia,The Last Umbrella,Sound Designer,Producer,Sound Designer,58.2,Section 2
2021/09/10 11:15:00AM EST,Juan,Jackson,she - her,Calculating Home,Where's Henry?,Anastasia,Director,Sound Designer,Sound Designer,50.4,Section 4
2021/09/10 11:15:00AM EST,Christina,Wilson,he - him,Anastasia,,,Editor,Sound Designer,Editor,83.9,Section 3
2021/09/10 11:15:00AM EST,Catherine,Green,he - him,The Last Umbrella,,,Director,Actor,Producer,74.1,Section 4
2021/09/10 11:15:00AM EST,Noah,Diaz,he - him,The Pom Pom Club,,,Producer,Cinematographer,Sound Designer,89.5,Section 3
2021/09/10 11:15:00AM EST,Jeffrey,Ramos,she - her,The Quiet Applause,Static and Sunlight,,Sound Designer,Editor,Cinematographer,55.9,Section 3
2021/09/10 11:15:00AM EST,Grace,Morris,he - him,Midnight in Ohio,,,Director,Sound Designer,Sound Designer,69.0,Section 3
2021/09/10 11:15:00AM EST,Teresa,Rodriguez,they - them,Static and Sunlight,Five Under Seven,,Actor,Director,Editor,61.7,Section 4
2021/09/10 11:15:00AM EST,Adam,Collins,they - them,Two Left Shoes,The Pom Pom Club,Where's Henry?,Director,Sound Designer,Editor,93.9,Section 1
2021/09/10 11:15:00AM EST,Gloria,Watson,he - him,Anastasia,,,Editor,Sound Designer,Editor,80.0,Section 1
2021/09/10 11:15:00AM EST,Justin,Clark,he - him,Calculating Home,,,Director,Sound Designer,Sound Designer,64.9,Section 3
2021/09/10 11:15:00AM EST,Adam,Rogers,she - her,Calculating Home,,,Producer,Sound Designer,Director,64.7,Section 2
2021/09/10 11:15:00AM EST,Mark,Watson,he - him,The Quiet Applause,Midnight in Ohio,The Last Umbrella,Sound Designer,Producer,Producer,90.3,Section 3
2021/09/10 11:15:00AM EST,Lori,Taylor,she - her,Anastasia,,,Director,Cinematographer,Producer,86.6,Section 1
2021/09/10 11:15:00AM EST,Rachel,Johnson,he - him,Anastasia,Calculating Home,,Editor,Producer,Actor,50.1,Section 3
2021/09/10 11:15:00AM EST,Marie,Patel,she - her,Static and Sunlight,The Last Umbrella,,Editor,Sound Designer,Producer,70.8,Section 3
2021/09/10 11:15:00AM EST,Judy,Adams,he - him,Anastasia,Two Left Shoes,,Sound Designer,Editor,Producer,93.9,Section 1
2021/09/10 11:15:00AM EST,Jason,Rodriguez,they - them,The Last Umbrella,,,Editor,Producer,Producer,47.4,Section 4
2021/09/10 11:15:00AM EST,Sophia,Ramos,she - her,Five Under Seven,Where's Henry?,,Editor,Cinematographer,Editor,95.3,Section 4
2021/09/10 11:15:00AM EST,Steven,Phillips,she - her,Five Under Seven,Calculating Home,,Editor,Cinematographer,Cinematographer,60.6,Section 3
2021/09/10 11:15:00AM EST,Albert,Watson,they - them,Where's Henry?,Five Under Seven,,Actor,Director,Cinematographer,73.6,Section 2
2021/09/10 11:15:00AM EST,Christian,Castillo,he - him,The Last Umbrella,The Quiet Applause,,Cinematographer,Actor,Editor,98.8,Section 4
2021/09/10 11:15:00AM EST,Richard,Bell,she - her,Calculating Home,The Pom Pom Club,Two Left Shoes,Editor,Producer,Producer,87.7,Section 3
2021/09/10 11:15:00AM EST,Donna,Brooks,he - him,Calculating Home,The Quiet Applause,,Sound Designer,Editor,Producer,73.7,Section 2
2021/09/10 11:15:00AM EST,Alan,Watson,she - her,Where's Henry?,The Pom Pom Club,Two Left Shoes,Director,Editor,Cinematographer,56.3,Section 1
2021/09/10 11:15:00AM EST,Lawrence,Wilson,he - him,Anastasia,Static and Sunlight,,Cinematographer,Editor,Sound Designer,75.8,Section 4
2021/09/10 11:15:00AM EST,Sarah,Johnson,he - him,Five Under Seven,The Pom Pom Club,,Cinematographer,Sound Designer,Editor,75.3,Section 3
2021/09/10 11:15:00AM EST,Victoria,Green,prefer not to answer,Calculating Home,,,Sound Designer,Cinematographer,Sound Designer,69.9,Section 2
2021/09/10 11:15:00AM EST,Sarah,Carter,she - her,The Quiet Applause,,,Actor,Producer,Director,89.4,Section 4
2021/09/10 11:15:00AM EST,Billy,Price,he - him,Static and Sunlight,,,Editor,Sound Designer,Actor,51.9,Section 2
2021/09/10 11:15:00AM EST,Helen,Carter,she - her,Anastasia,,,Actor,Editor,Cinematographer,43.8,Section 2
2021/09/10 11:15:00AM EST,Ruth,Kim,he - him,Midnight in Ohio,The Last Umbrella,The Pom Pom Club,Producer,Editor,Sound Designer,73.2,Section 3
2021/09/10 11:15:00AM EST,Julia,Smith,she - her,Anastasia,Where's Henry?,Static and Sunlight,Sound Designer,Director,Director,73.3,Section 2
2021/09/10 11:15:00AM EST,Grace,Rodriguez,she - her,The Last Umbrella,Midnight in Ohio,,Actor,Editor,Sound Designer,66.4,Section 2
2021/09/10 11:15:00AM EST,Laura,Smith,he - him,Anastasia,Two Left Shoes,,Producer,Actor,Sound Designer,74.7,Section 3
2021/09/10 11:15:00AM EST,Jesse,Price,he - him,The Quiet Applause,The Pom Pom Club,,Editor,Director,Editor,43.3,Section 2
2021/09/10 11:15:00AM EST,Matthew,Roberts,he - him,The Quiet Applause,Calculating Home,Midnight in Ohio,Director,Actor,Actor,67.7,Section 2
2021/09/10 11:15:00AM EST,Emily,Phillips,she - her,The Last Umbrella,Anastasia,Midnight in Ohio,Cinematographer,Director,Sound Designer,63.6,Section 3
2021/09/10 11:15:00AM EST,Julie,Cox,he - him,Calculating Home,Two Left Shoes,Static and Sunlight,Sound Designer,Director,Director,91.2,Section 2
2021/09/10 11:15:00AM EST,Natalie,James,she - her,Static and Sunlight,Five Under Seven,,Actor,Sound Designer,Actor,81.8,Section 4
2021/09/10 11:15:00AM EST,Justin,Scott,she - her,The Last Umbrella,Two Left Shoes,,Editor,Sound Designer,Director,81.6,Section 1
2021/09/10 11:15:00AM EST,Alan,Hernandez,she - her,Five Under Seven,The Quiet Applause,,Cinematographer,Director,Editor,58.0,Section 2
2021/09/10 11:15:00AM EST,Jordan,Turner,they - them,The Last Umbrella,,,Actor,Sound Designer,Sound Designer,80.5,Section 2
2021/09/10 11:15:00AM EST,Amy,Evans,she - her,Anastasia,,,Director,Sound Designer,Producer,94.3,Section 3
2021/09/10 11:15:00AM EST,Brenda,Turner,he - him,The Pom Pom Club,Where's Henry?,,Cinematographer,Producer,Cinematographer,93.9,Section 2
2021/09/10 11:15:00AM EST,Amanda,Allen,prefer not to answer,Where's Henry?,,,Director,Actor,Director,62.9,Section 3
2021/09/10 11:15:00AM EST,Billy,Jimenez,she - her,The Last Umbrella,,,Director,Cinematographer,Cinematographer,67.4,Section 3
2021/09/10 11:15:00AM EST,Joshua,Jimenez,he - him,Midnight in Ohio,The Pom Pom Club,The Quiet Applause,Actor,Sound Designer,Sound Designer,92.2,Section 3
2021/09/10 11:15:00AM EST,Samuel,Hall,she - her,The Last Umbrella,,,Sound Designer,Director,Actor,52.4,Section 3
2021/09/10 11:15:00AM EST,Dorothy,Rivera,she - her,Anastasia,,,Editor,Director,Producer,65.6,Section 2
2021/09/10 11:15:00AM EST,Roger,Edwards,they - them,Where's Henry?,Two Left Shoes,,Actor,Producer,Sound Designer,45.0,Section 3
2021/09/10 11:15:00AM EST,Kevin,Adams,he - him,The Quiet Applause,Anastasia,Five Under Seven,Editor,Director,Producer,62.5,Section 2
2021/09/10 11:15:00AM EST,Doris,Ruiz,they - them,The Quiet Applause,,,Editor,Actor,Cinematographer,45.5,Section 4
2021/09/10 11:15:00AM EST,Christina,Campbell,he - him,Two Left Shoes,Five Under Seven,Static and Sunlight,Producer,Actor,Producer,89.3,Section 4
2021/09/10 11:15:00AM EST,Wayne,Rogers,they - them,Anastasia,,,Cinematographer,Director,Editor,62.4,Section 4
2021/09/10 11:15:00AM EST,Amy,Cruz,he - him,Where's Henry?,Calculating Home,Static and Sunlight,Cinematographer,Director,Cinematographer,87.4,Section 2
2021/09/10 11:15:00AM EST,Walter,Cook,she - her,Midnight in Ohio,,,Editor,Director,Actor,98.2,Section 4
2021/09/10 11:15:00AM EST,Catherine,Scott,he - him,Static and Sunlight,The Pom Pom Club,,Sound Designer,Actor,Editor,79.5,Section 4
2021/09/10 11:15:00AM EST,Betty,Wood,they - them,The Pom Pom Club,Static and Sunlight,,Actor,Cinematographer,Director,99.1,Section 2
2021/09/10 11:15:00AM EST,Nathan,Mitchell,she - her,Two Left Shoes,Calculating Home,,Cinematographer,Director,Sound Designer,87.7,Section 3
2021/09/10 11:15:00AM EST,Larry,Kelly,he - him,The Quiet Applause,Where's Henry?,,Actor,Director,Cinematographer,98.3,Section 1
2021/09/10 11:15:00AM EST,Walter,King,they - them,The Quiet Applause,Five Under Seven,,Director,Sound Designer,Producer,99.8,Section 3
2021/09/10 11:15:00AM EST,Doris,Hughes,she - her,Five Under Seven,Where's Henry?,Two Left Shoes,Director,Sound Designer,Actor,67.6,Section 3
2021/09/10 11:15:00AM EST,Jeffrey,Brown,he - him,Where's Henry?,,,Producer,Editor,Cinematographer,77.0,Section 3
2021/09/10 11:15:00AM EST,Ryan,Torres,she - her,Calculating Home,Static and Sunlight,,Director,Cinematographer,Sound Designer,40.5,Section 2
2021/09/10 11:15:00AM EST,Diana,Williams,she - her,The Quiet Applause,,,Editor,Director,Producer,55.0,Section 2
2021/09/10 11:15:00AM EST,Noah,Gomez,they - them,The Quiet Applause,Two Left Shoes,,Director,Actor,Producer,46.5,Section 3
2021/09/10 11:15:00AM EST,Mark,Bailey,she - her,The Last Umbrella,The Quiet Applause,,Director,Actor,Actor,88.5,Section 2
2021/09/10 11:15:00AM EST,Rachel,Davis,he - him,Calculating Home,Two Left Shoes,,Actor,Producer,Actor,82.2,Section 3
2021/09/10 11:15:00AM EST,Daniel,Brown,he - him,The Pom Pom Club,The Last Umbrella,,Sound Designer,Actor,Director,79.7,Section 1
2021/09/10 11:15:00AM EST,Douglas,Mendoza,he - him,The Quiet Applause,Two Left Shoes,,Actor,Cinematographer,Director,94.9,Section 2
2021/09/10 11:15:00AM EST,Marie,Brown,she - her,Static and Sunlight,,,Editor,Director,Director,63.3,Section 1
2021/09/10 11:15:00AM EST,Roger,Wilson,he - him,The Last Umbrella,Five Under Seven,,Producer,Sound Designer,Producer,70.4,Section 3
2021/09/10 11:15:00AM EST,Gloria,Brown,she - her,The Last Umbrella,Static and Sunlight,Five Under Seven,Actor,Cinematographer,Actor,42.6,Section 4
2021/09/10 11:15:00AM EST,Emily,Hill,prefer not to answer,The Quiet Applause,Where's Henry?,,Editor,Actor,Actor,78.5,Section 3
2021/09/10 11:15:00AM EST,Richard,Mitchell,she - her,The Last Umbrella,The Pom Pom Club,,Director,Cinematographer,Actor,92.4,Section 1
2021/09/10 11:15:00AM EST,Timothy,Collins,she - her,Anastasia,,,Director,Actor,Cinematographer,66.3,Section 1
2021/09/10 11:15:00AM EST,Justin,Wood,she - her,Midnight in Ohio,Where's Henry?,,Cinematographer,Sound Designer,Actor,42.9,Section 4
2021/09/10 11:15:00AM EST,Diana,Mitchell,he - him,Where's Henry?,Two Left Shoes,,Producer,Cinematographer,Director,67.3,Section 2
2021/09/10 11:15:00AM EST,Charles,Lewis,she - her,Midnight in Ohio,Where's Henry?,,Producer,Actor,Sound Designer,72.4,Section 4
2021/09/10 11:15:00AM EST,Kathryn,Lewis,he - him,Two Left Shoes,Midnight in Ohio,,Sound Designer,Director,Sound Designer,63.6,Section 2
2021/09/10 11:15:00AM EST,Diane,Martinez,he - him,Midnight in Ohio,Calculating Home,Static and Sunlight,Editor,Cinematographer,Cinematographer,49.1,Section 3
2021/09/10 11:15:00AM EST,Andrea,Stewart,she - her,The Pom Pom Club,,,Cinematographer,Sound Designer,Producer,52.8,Section 3
2021/09/10 11:15:00AM EST,Carol,Ross,she - her,Anastasia,Static and Sunlight,The Pom Pom Club,Actor,Cinematographer,Cinematographer,90.9,Section 2
2021/09/10 11:15:00AM EST,Cynthia,Phillips,she - her,Static and Sunlight,Midnight in Ohio,Two Left Shoes,Director,Producer,Producer,92.7,Section 1
2021/09/10 11:15:00AM EST,Mason,Alvarez,he - him,Five Under Seven,Midnight in Ohio,,Producer,Editor,Cinematographer,76.7,Section 1
2021/09/10 11:15:00AM EST,Stephanie,Edwards,she - her,Calculating Home,Anastasia,Two Left Shoes,Actor,Editor,Director,70.5,Section 1
2021/09/10 11:15:00AM EST,Jean,Gonzalez,she - her,Where's Henry?,Five Under Seven,The Quiet Applause,Sound Designer,Producer,Editor,59.7,Section 4
2021/09/10 11:15:00AM EST,Arthur,Smith,she - her,Two Left Shoes,Anastasia,,Cinematographer,Editor,Producer,94.4,Section 2
2021/09/10 11:15:00AM EST,Terry,Harris,he - him,Five Under Seven,Static and Sunlight,,Producer,Cinematographer,Producer,74.7,Section 2
2021/09/10 11:15:00AM EST,Charles,Gray,he - him,Five Under Seven,The Last Umbrella,,Producer,Director,Director,57.6,Section 2
2021/09/10 11:15:00AM EST,Zachary,Hall,she - her,Midnight in Ohio,Five Under Seven,,Producer,Actor,Editor,54.3,Section 1
2021/09/10 11:15:00AM EST,Billy,Ward,prefer not to answer,The Pom Pom Club,Static and Sunlight,,Producer,Actor,Actor,80.1,Section 2
2021/09/10 11:15:00AM EST,Timothy,Edwards,he - him,The Quiet Applause,Two Left Shoes,,Actor,Cinematographer,Editor,89.5,Section 3
2021/09/10 11:15:00AM EST,Linda,Bell,he - him,Anastasia,Midnight in Ohio,,Cinematographer,Sound Designer,Director,46.2,Section 2
2021/09/10 11:15:00AM EST,Samuel,Collins,she - her,The Last Umbrella,Where's Henry?,,Editor,Sound Designer,Director,59.0,Section 2
2021/09/10 11:15:00AM EST,Steven,Kim,he - him,Calculating Home,The Pom Pom Club,Two Left Shoes,Producer,Cinematographer,Producer,45.2,Section 4
2021/09/10 11:15:00AM EST,Kelly,Roberts,she - her,The Last Umbrella,Where's Henry?,,Director,Actor,Producer,58.1,Section 3
2021/09/10 11:15:00AM EST,Angela,Allen,he - him,Where's Henry?,The Last Umbrella,,Actor,Editor,Sound Designer,62.0,Section 3
2021/09/10 11:15:00AM EST,Gary,White,she - her,Where's Henry?,,,Editor,Sound Designer,Director,75.0,Section 2
2021/09/10 11:15:00AM EST,Anthony,Jimenez,she - her,Static and Sunlight,,,Sound Designer,Editor,Actor,68.5,Section 1
2021/09/10 11:15:00AM EST,Christine,Alvarez,they - them,Where's Henry?,,,Actor,Sound Designer,Cinematographer,68.7,Section 4
2021/09/10 11:15:00AM EST,Louis,Morgan,she - her,The Last Umbrella,Static and Sunlight,,Actor,Editor,Actor,82.3,Section 4
2021/09/10 11:15:00AM EST,Kyle,Edwards,he - him,Midnight in Ohio,,,Director,Sound Designer,Cinematographer,69.8,Section 3
2021/09/10 11:15:00AM EST,Jacob,Morales,she - her,Five Under Seven,Calculating Home,The Pom Pom Club,Sound Designer,Actor,Director,81.7,Section 2
2021/09/10 11:15:00AM EST,Julie,Scott,she - her,Anastasia,The Quiet Applause,The Pom Pom Club,Actor,Director,Sound Designer,77.4,Section 2
2021/09/10 11:15:00AM EST,Lisa,Long,he - him,Calculating Home,The Pom Pom Club,,Actor,Editor,Editor,53.2,Section 4
2021/09/10 11:15:00AM EST,Kimberly,Patel,she - her,Static and Sunlight,The Pom Pom Club,Five Under Seven,Producer,Editor,Director,67.5,Section 4
2021/09/10 11:15:00AM EST,Andrea,Perez,he - him,Where's Henry?,Five Under Seven,,Cinematographer,Actor,Producer,49.2,Section 2
2021/09/10 11:15:00AM EST,Sara,Cook,he - him,Static and Sunlight,The Pom Pom Club,,Actor,Producer,Sound Designer,91.2,Section 2
2021/09/10 11:15:00AM EST,Natalie,Mitchell,he - him,Calculating Home,,,Actor,Producer,Sound Designer,44.7,Section 1
2021/09/10 11:15:00AM EST,Zachary,Cooper,she - her,Two Left Shoes,The Pom Pom Club,Static and Sunlight,Sound Designer,Producer,Sound Designer,73.5,Section 2
2021/09/10 11:15:00AM EST,Amber,Peterson,he - him,Two Left Shoes,Static and Sunlight,,Producer,Sound Designer,Director,53.5,Section 3
2021/09/10 11:15:00AM EST,Jonathan,Flores,prefer not to answer,The Pom Pom Club,Two Left Shoes,,Cinematographer,Director,Producer,89.9,Section 2
2021/09/10 11:15:00AM EST,Patrick,Flores,he - him,Static and Sunlight,,,Sound Designer,Director,Director,64.2,Section 3
2021/09/10 11:15:00AM EST,Stephen,Lopez,he - him,Anastasia,The Pom Pom Club,,Director,Actor,Actor,68.2,Section 1
2021/09/10 11:15:00AM EST,Kyle,Phillips,she - her,Calculating Home,Five Under Seven,,Actor,Editor,Editor,86.3,Section 4
2021/09/10 11:15:00AM EST,Carol,Allen,she - her,Two Left Shoes,The Quiet Applause,,Director,Actor,Director,76.8,Section 1
2021/09/10 11:15:00AM EST,Walter,Garcia,she - her,Where's Henry?,Anastasia,,Sound Designer,Editor,Producer,41.4,Section 2
2021/09/10 11:15:00AM EST,Rachel,Edwards,he - him,The Quiet Applause,Two Left Shoes,,Actor,Director,Cinematographer,88.9,Section 2
2021/09/10 11:15:00AM EST,Barbara,Mendoza,he - him,The Last Umbrella,The Pom Pom Club,Five Under Seven,Sound Designer,Director,Producer,43.8,Section 1
2021/09/10 11:15:00AM EST,Rebecca,Turner,she - her,Calculating Home,Static and Sunlight,The Pom Pom Club,Producer,Actor,Editor,64.4,Section 1
2021/09/10 11:15:00AM EST,Nicholas,Taylor,she - her,Midnight in Ohio,The Last Umbrella,,Actor,Cinematographer,Cinematographer,43.6,Section 4
2021/09/10 11:15:00AM EST,Joe,Roberts,he - him,Calculating Home,Two Left Shoes,,Cinematographer,Editor,Sound Designer,66.9,Section 1
2021/09/10 11:15:00AM EST,Billy,Jones,she - her,The Quiet Applause,Anastasia,,Director,Sound Designer,Actor,51.1,Section 1
2021/09/10 11:15:00AM EST,Brandon,Garcia,they - them,The Quiet Applause,The Last Umbrella,,Cinematographer,Director,Cinematographer,51.9,Section 4
2021/09/10 11:15:00AM EST,Noah,Murphy,prefer not to answer,Where's Henry?,,,Cinematographer,Editor,Cinematographer,57.0,Section 1
2021/09/10 11:15:00AM EST,Sophia,Hill,she - her,The Quiet Applause,Five Under Seven,,Actor,Cinematographer,Director,98.7,Section 3
2021/09/10 11:15:00AM EST,Donna,Gray,he - him,The Pom Pom Club,Two Left Shoes,,Sound Designer,Cinematographer,Cinematographer,91.0,Section 2
2021/09/10 11:15:00AM EST,Carol,Diaz,he - him,The Pom Pom Club,Midnight in Ohio,,Actor,Editor,Producer,77.9,Section 4
2021/09/10 11:15:00AM EST,Ann,Roberts,he - him,Where's Henry?,,,Editor,Sound Designer,Director,57.5,Section 3
2021/09/10 11:15:00AM EST,Carol,Bennett,she - her,The Pom Pom Club,Where's Henry?,Midnight in Ohio,Actor,Cinematographer,Editor,70.4,Section 4
2021/09/10 11:15:00AM EST,Nicholas,Reyes,she - her,The Quiet Applause,,,Actor,Director,Sound Designer,68.4,Section 1
2021/09/10 11:15:00AM EST,Larry,Edwards,she - her,The Quiet Applause,,,Cinematographer,Actor,Cinematographer,57.7,Section 3
2021/09/10 11:15:00AM EST,Cynthia,Diaz,they - them,Anastasia,The Last Umbrella,,Sound Designer,Actor,Producer,74.7,Section 4
2021/09/10 11:15:00AM EST,Jeffrey,Collins,they - them,The Last Umbrella,,,Director,Producer,Producer,48.4,Section 4
